Therapieart;Bezeichnung;Substanzname;Weitere_Bezeichnung;Tumorbezogene_Therapie;Hauptgruppe;Untergruppe;ATC_Kode
SO;Ribofolin;Folinsäure;Haemato-folin, Leucovorin, Ribofolin, Calciumfolinat;ja;Protektivum/Antidot für die antineoplastische Therapie;Antidot;V03AF03
HO;Formestan;Formestan;Lentaron (veraltet);ja;Endokrine Therapie;Aromatasehemmer;L02BG02
HO;Lentaron (veraltet);Formestan;Lentaron (veraltet);ja;Endokrine Therapie;Aromatasehemmer;L02BG02
HO;Fosfestrol;Fosfestrol;Honvan (veraltet);ja;Endokrine Therapie;Sonstige endokrine Therapie;L02AA04
HO;Honvan (veraltet);Fosfestrol;Honvan (veraltet);ja;Endokrine Therapie;Sonstige endokrine Therapie;L02AA04
CH;Fotemustin;Fotemustin;Muphoran;ja;Zytostatikum;Alkylanz;L01AD05
CH;Muphoran;Fotemustin;Muphoran;ja;Zytostatikum;Alkylanz;L01AD05
HO;Faslodex;Fulvestrant;Faslodex;ja;Endokrine Therapie;Antiöstrogen;L02BA03
HO;Fulvestrant;Fulvestrant;Faslodex;ja;Endokrine Therapie;Antiöstrogen;L02BA03
IM;Galiximab;Galiximab;;ja;Anderes antineoplastisches Mittel;Antikörper;
ZS;Ganetespib;Ganetespib;;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;
SO;Ganzkörperbestrahlung;Ganzkörperbestrahlung;TBI, Total Body Irradiation;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;
SO;TBI;Ganzkörperbestrahlung;TBI, Total Body Irradiation;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;
SO;Total Body Irradiation;Ganzkörperbestrahlung;TBI, Total Body Irradiation;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;
SO;Gc Makrophagen-Aktivierender Faktor;GcMAF;Gc Makrophagen-Aktivierender Faktor;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;
SO;GcMAF;GcMAF;Gc Makrophagen-Aktivierender Faktor;ja;Anderes antineoplastisches Mittel;Sonstige Substanz;
SO;G-CSF;G-CSF;;nein;Supportiv;Sonstiges Supportivum;
ZS;Gefitinib;Gefitinib;Iressa;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE02
ZS;Iressa;Gefitinib;Iressa;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE02
CH;Cytogembin;Gemcitabin;Gemzar, Tabinell, Cytogembin, Ebegemcit, Gemcitara, Gemcapyr;ja;Zytostatikum;Antimetabolit;L01BC05
CH;Ebegemcit;Gemcitabin;Gemzar, Tabinell, Cytogembin, Ebegemcit, Gemcitara, Gemcapyr;ja;Zytostatikum;Antimetabolit;L01BC05
CH;Gemcapyr;Gemcitabin;Gemzar, Tabinell, Cytogembin, Ebegemcit, Gemcitara, Gemcapyr;ja;Zytostatikum;Antimetabolit;L01BC05
CH;Gemcitabin;Gemcitabin;Gemzar, Tabinell, Cytogembin, Ebegemcit, Gemcitara, Gemcapyr;ja;Zytostatikum;Antimetabolit;L01BC05
CH;Gemcitara;Gemcitabin;Gemzar, Tabinell, Cytogembin, Ebegemcit, Gemcitara, Gemcapyr;ja;Zytostatikum;Antimetabolit;L01BC05
CH;Gemzar;Gemcitabin;Gemzar, Tabinell, Cytogembin, Ebegemcit, Gemcitara, Gemcapyr;ja;Zytostatikum;Antimetabolit;L01BC05
CH;Tabinell;Gemcitabin;Gemzar, Tabinell, Cytogembin, Ebegemcit, Gemcitara, Gemcapyr;ja;Zytostatikum;Antimetabolit;L01BC05
CH;Gemcitabin dFdC;Gemcitabin dFdC;siehe Gemcar;ja;Zytostatikum;Antimetabolit;L01BC06
CH;siehe Gemcar;Gemcitabin dFdC;siehe Gemcar;ja;Zytostatikum;Antimetabolit;L01BC06
IM;Gemtuzumab;Gemtuzumab;Mylotarg, Gemtuzumab Ozogamicin;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC05
IM;Gemtuzumab Ozogamicin;Gemtuzumab;Mylotarg, Gemtuzumab Ozogamicin;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC05
IM;Mylotarg;Gemtuzumab;Mylotarg, Gemtuzumab Ozogamicin;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC05
HO;Depostat;Gestonoron;Depostat, Primostat;ja;Endokrine Therapie;Sonstige endokrine Therapie;L02AB03 
HO;Gestonoron;Gestonoron;Depostat, Primostat;ja;Endokrine Therapie;Sonstige endokrine Therapie;L02AB03 
HO;Primostat;Gestonoron;Depostat, Primostat;ja;Endokrine Therapie;Sonstige endokrine Therapie;L02AB03 
ZS;ASP2215;Gilteritinib;Xospata, Gilteritinib Fumarat, Gilteritinib Hemifumarat, ASP2215;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor; L01EX13
ZS;Gilteritinib;Gilteritinib;Xospata, Gilteritinib Fumarat, Gilteritinib Hemifumarat, ASP2215;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor; L01EX13
ZS;Gilteritinib Fumarat;Gilteritinib;Xospata, Gilteritinib Fumarat, Gilteritinib Hemifumarat, ASP2215;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor; L01EX13
ZS;Gilteritinib Hemifumarat;Gilteritinib;Xospata, Gilteritinib Fumarat, Gilteritinib Hemifumarat, ASP2215;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor; L01EX13
ZS;Xospata;Gilteritinib;Xospata, Gilteritinib Fumarat, Gilteritinib Hemifumarat, ASP2215;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor; L01EX13
ZS;Daurismo;Glasdegib;Daurismo, Glasdegib maleat;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XJ03
ZS;Glasdegib;Glasdegib;Daurismo, Glasdegib maleat;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XJ03
ZS;Glasdegib maleat;Glasdegib;Daurismo, Glasdegib maleat;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XJ03
SO;Glucarpidase;Glucarpidase;Voraxaze;nein;Supportiv;Sonstiges Supportivum;V03AF09 
SO;Voraxaze;Glucarpidase;Voraxaze;nein;Supportiv;Sonstiges Supportivum;V03AF09 
IM;Golimumab;Golimumab;Simponi;nein;Nicht supportiv;TNF-alpha-Inhibitor;L04AB06
IM;Simponi;Golimumab;Simponi;nein;Nicht supportiv;TNF-alpha-Inhibitor;L04AB06
HO;Goserelin;Goserelin;Zoladex;ja;Endokrine Therapie;GnRH-Analogon;L02AE03
HO;Zoladex;Goserelin;Zoladex;ja;Endokrine Therapie;GnRH-Analogon;L02AE03
SO;Granisetron;Granisetron;Kevatril, Kytril, Ribosetron, Sancuso;nein;Supportiv;Antiemetikum;A04AA02
SO;Kevatril;Granisetron;Kevatril, Kytril, Ribosetron, Sancuso;nein;Supportiv;Antiemetikum;A04AA02
SO;Kytril;Granisetron;Kevatril, Kytril, Ribosetron, Sancuso;nein;Supportiv;Antiemetikum;A04AA02
SO;Ribosetron;Granisetron;Kevatril, Kytril, Ribosetron, Sancuso;nein;Supportiv;Antiemetikum;A04AA02
SO;Sancuso;Granisetron;Kevatril, Kytril, Ribosetron, Sancuso;nein;Supportiv;Antiemetikum;A04AA02
CH;Guadecitabin;Guadecitabin;Guadecitabine;ja;Zytostatikum;Antimetabolit;
CH;Guadecitabine;Guadecitabin;Guadecitabine;ja;Zytostatikum;Antimetabolit;
IM;Gusperimus;Gusperimus;Spanidin;ja;Immunmodulator;Interleukin-Antikörper;L04AA19
IM;Spanidin;Gusperimus;Spanidin;ja;Immunmodulator;Interleukin-Antikörper;L04AA19
SO;Hepasphere;Hepasphere;;ja;Anderes antineoplastisches Mittel;Chemoembolisation;
IM;Ceplene;Histamin dihydrochlorid;Ceplene;ja;Immunmodulator;sonstiges Immunstimulanz;L03AX14
IM;Histamin dihydrochlorid;Histamin dihydrochlorid;Ceplene;ja;Immunmodulator;sonstiges Immunstimulanz;L03AX14
HO;Histrelin;Histrelin;Vantas;ja;Endokrine Therapie;GnRH-Analogon;L02AE05
HO;Vantas;Histrelin;Vantas;ja;Endokrine Therapie;GnRH-Analogon;L02AE05
CH;Hydrea;Hydroxycarbamid;Hydrea, Litalir, Siklos, Syrea;ja;Zytostatikum;Sonstiges Zytostatikum;L01XX05
CH;Hydroxycarbamid;Hydroxycarbamid;Hydrea, Litalir, Siklos, Syrea;ja;Zytostatikum;Sonstiges Zytostatikum;L01XX05
CH;Litalir;Hydroxycarbamid;Hydrea, Litalir, Siklos, Syrea;ja;Zytostatikum;Sonstiges Zytostatikum;L01XX05
CH;Siklos;Hydroxycarbamid;Hydrea, Litalir, Siklos, Syrea;ja;Zytostatikum;Sonstiges Zytostatikum;L01XX05
CH;Syrea;Hydroxycarbamid;Hydrea, Litalir, Siklos, Syrea;ja;Zytostatikum;Sonstiges Zytostatikum;L01XX05
SO;Bondronat;Ibandronsäure;Bondronat, Ribandron;nein;Supportiv;Bisphosphonat;M05BA06
SO;Ibandronsäure;Ibandronsäure;Bondronat, Ribandron;nein;Supportiv;Bisphosphonat;M05BA06
SO;Ribandron;Ibandronsäure;Bondronat, Ribandron;nein;Supportiv;Bisphosphonat;M05BA06
IM;Ibritumomab;Ibritumomab-Tiuxetan;Zevalin, Ibritumomabtiuxetan, Ibritumomab, ;ja;Anderes antineoplastisches Mittel;Antikörper;V10XX02 
IM;Ibritumomabtiuxetan;Ibritumomab-Tiuxetan;Zevalin, Ibritumomabtiuxetan, Ibritumomab, ;ja;Anderes antineoplastisches Mittel;Antikörper;V10XX02 
IM;Ibritumomab-Tiuxetan;Ibritumomab-Tiuxetan;Zevalin, Ibritumomabtiuxetan, Ibritumomab, ;ja;Anderes antineoplastisches Mittel;Antikörper;V10XX02 
IM;Zevalin;Ibritumomab-Tiuxetan;Zevalin, Ibritumomabtiuxetan, Ibritumomab, ;ja;Anderes antineoplastisches Mittel;Antikörper;V10XX02 
ZS;Ibrutinib;Ibrutinib;Imbruvica;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;" C83.1"""
ZS;Imbruvica;Ibrutinib;Imbruvica;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;" C83.1"""
CH;Idarubicin;Idarubicin;Zavedos;ja;Zytostatikum;Anthrazyklin;L01DB06
CH;Zavedos;Idarubicin;Zavedos;ja;Zytostatikum;Anthrazyklin;L01DB06
ZS;Idelalisib;Idelalisib;Zydelig;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XX47
ZS;Zydelig;Idelalisib;Zydelig;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XX47
CH;Holoxan;Ifosfamid;Holoxan, Ifo-cell;ja;Zytostatikum;Alkylanz;L01AA06
CH;Ifo-cell;Ifosfamid;Holoxan, Ifo-cell;ja;Zytostatikum;Alkylanz;L01AA06
CH;Ifosfamid;Ifosfamid;Holoxan, Ifo-cell;ja;Zytostatikum;Alkylanz;L01AA06
ZS;Glivec;Imatinib;Glivec, Imanivec,;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE01
ZS;Imanivec;Imatinib;Glivec, Imanivec,;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE01
ZS;Imatinib;Imatinib;Glivec, Imanivec,;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE01
SO;Aldara;Imiquimod;Aldara, Zyclara;ja;Immunmodulator;sonstiges Immunstimulanz;D06BB10
SO;Imiquimod;Imiquimod;Aldara, Zyclara;ja;Immunmodulator;sonstiges Immunstimulanz;D06BB10
SO;Zyclara;Imiquimod;Aldara, Zyclara;ja;Immunmodulator;sonstiges Immunstimulanz;D06BB10
IM;Flixabi;Infliximab;Flixabi, Inflectra, Remicade, Remsima, Zessly;nein;Supportiv;TNF-alpha-Inhibitor;L04AB02
IM;Inflectra;Infliximab;Flixabi, Inflectra, Remicade, Remsima, Zessly;nein;Supportiv;TNF-alpha-Inhibitor;L04AB02
IM;Infliximab;Infliximab;Flixabi, Inflectra, Remicade, Remsima, Zessly;nein;Supportiv;TNF-alpha-Inhibitor;L04AB02
IM;Remicade;Infliximab;Flixabi, Inflectra, Remicade, Remsima, Zessly;nein;Supportiv;TNF-alpha-Inhibitor;L04AB02
IM;Remsima;Infliximab;Flixabi, Inflectra, Remicade, Remsima, Zessly;nein;Supportiv;TNF-alpha-Inhibitor;L04AB02
IM;Zessly;Infliximab;Flixabi, Inflectra, Remicade, Remsima, Zessly;nein;Supportiv;TNF-alpha-Inhibitor;L04AB02
SO;Ingenol;Ingenol;Picato;ja;Dermatikum;Sonstige Substanz;D06BX02
SO;Picato;Ingenol;Picato;ja;Dermatikum;Sonstige Substanz;D06BX02
IM;Besponsa;Inotuzumab Ozogamicin;Besponsa;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC26
IM;Inotuzumab Ozogamicin;Inotuzumab Ozogamicin;Besponsa;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC26
IM;Interferon alpha natürlich;Interferon alpha natürlich;Multiferon;ja;Immunmodulator;Interferon;L03AB01
IM;Multiferon;Interferon alpha natürlich;Multiferon;ja;Immunmodulator;Interferon;L03AB01
IM;Interferon alpha-2a;Interferon alpha-2a;Roferon A;ja;Immunmodulator;Interferon;L03AB04
IM;Roferon A;Interferon alpha-2a;Roferon A;ja;Immunmodulator;Interferon;L03AB04
IM;Interferon alpha-2b;Interferon alpha-2b;Intron A;ja;Immunmodulator;Interferon;L03AB05
IM;Intron A;Interferon alpha-2b;Intron A;ja;Immunmodulator;Interferon;L03AB05
IM;Actimmune;Interferon gamma-1b;Actimmune;ja;Immunmodulator;Interferon;L03AB03
IM;Interferon gamma-1b;Interferon gamma-1b;Actimmune;ja;Immunmodulator;Interferon;L03AB03
IM;Ipilimumab;Ipilimumab;Yervoy;ja;Anderes antineoplastisches Mittel;Antikörper, Checkpoint-Inhibitor;L01XC11
IM;Yervoy;Ipilimumab;Yervoy;ja;Anderes antineoplastisches Mittel;Antikörper, Checkpoint-Inhibitor;L01XC11
CH;Arinotec;Irinotecan;Arinotec, Axinotecan, Campto, Camptosar;ja;Zytostatikum;Topoisom.-Inhibitor;L01XX19
CH;Axinotecan;Irinotecan;Arinotec, Axinotecan, Campto, Camptosar;ja;Zytostatikum;Topoisom.-Inhibitor;L01XX19
CH;Campto;Irinotecan;Arinotec, Axinotecan, Campto, Camptosar;ja;Zytostatikum;Topoisom.-Inhibitor;L01XX19
CH;Camptosar;Irinotecan;Arinotec, Axinotecan, Campto, Camptosar;ja;Zytostatikum;Topoisom.-Inhibitor;L01XX19
CH;Irinotecan;Irinotecan;Arinotec, Axinotecan, Campto, Camptosar;ja;Zytostatikum;Topoisom.-Inhibitor;L01XX19
CH;Irinotecan nanoliposomal pegyliert;Irinotecan nanoliposomal pegyliert;Onivyde;ja;Zytostatikum;Topoisom.-Inhibitor;L01XX19
CH;Onivyde;Irinotecan nanoliposomal pegyliert;Onivyde;ja;Zytostatikum;Topoisom.-Inhibitor;L01XX19
IM;Isatuximab;Isatuximab;Sarclisa, SAR-650984, isatuximab-irfc;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC38
IM;isatuximab-irfc;Isatuximab;Sarclisa, SAR-650984, isatuximab-irfc;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC38
IM;SAR-650984;Isatuximab;Sarclisa, SAR-650984, isatuximab-irfc;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC38
IM;Sarclisa;Isatuximab;Sarclisa, SAR-650984, isatuximab-irfc;ja;Anderes antineoplastisches Mittel;Antikörper;L01XC38
ZS;AG-120;Ivosidenib;Tibsovo, AG-120;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX62
ZS;Ivosidenib;Ivosidenib;Tibsovo, AG-120;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX62
ZS;Tibsovo;Ivosidenib;Tibsovo, AG-120;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX62
CH;Ixabepilon;Ixabepilon;Ixempra;ja;Zytostatikum;Anthrazyklin;L01DC04
CH;Ixempra;Ixabepilon;Ixempra;ja;Zytostatikum;Anthrazyklin;L01DC04
ZS;Ixazomib;Ixazomib;Ninlaro;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX50
ZS;Ninlaro;Ixazomib;Ninlaro;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX50
SO;Ketoconazol;Ketoconazol;Ketoconazole;ja;Endokrine Therapie;Sonstige endokrine Therapie;J02AB02
SO;Ketoconazole;Ketoconazol;Ketoconazole;ja;Endokrine Therapie;Sonstige endokrine Therapie;J02AB02
HO;Lanreotid;Lanreotid;Somatulin;ja;Endokrine Therapie;Sonstige endokrine Therapie;H01CB03
HO;Somatulin;Lanreotid;Somatulin;ja;Endokrine Therapie;Sonstige endokrine Therapie;H01CB03
ZS;Lapatinib;Lapatinib;Tyverb;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE07
ZS;Tyverb;Lapatinib;Tyverb;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE07
ZS;ARRY-470;Larotrectinib;Vitrakvi, Larotrectinibi sulfas, Larotrectinibsulfat, LOXO-101, ARRY-470;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EX12
ZS;Larotrectinib;Larotrectinib;Vitrakvi;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE53
ZS;Larotrectinib;Larotrectinib;Vitrakvi, Larotrectinibi sulfas, Larotrectinibsulfat, LOXO-101, ARRY-470;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EX12
ZS;Larotrectinibi sulfas;Larotrectinib;Vitrakvi, Larotrectinibi sulfas, Larotrectinibsulfat, LOXO-101, ARRY-470;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EX12
ZS;Larotrectinibsulfat;Larotrectinib;Vitrakvi, Larotrectinibi sulfas, Larotrectinibsulfat, LOXO-101, ARRY-470;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EX12
ZS;LOXO-101;Larotrectinib;Vitrakvi, Larotrectinibi sulfas, Larotrectinibsulfat, LOXO-101, ARRY-470;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EX12
ZS;Vitrakvi;Larotrectinib;Vitrakvi;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE53
ZS;Vitrakvi;Larotrectinib;Vitrakvi, Larotrectinibi sulfas, Larotrectinibsulfat, LOXO-101, ARRY-470;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EX12
IM;Leflunomid;Leflunomid;Remicade;ja;Immunmodulator;Proteinkinase-Inhibitor;L04AA13
IM;Remicade;Leflunomid;Remicade;ja;Immunmodulator;Proteinkinase-Inhibitor;L04AA13
ZS;Lenalidomid;Lenalidomid;Revlimid;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L04AX04
ZS;Revlimid;Lenalidomid;Revlimid;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L04AX04
SO;Granocyte;Lenograstim;Granocyte;nein;Supportiv;Sonstiges Supportivum;L03AA10
SO;Lenograstim;Lenograstim;Granocyte;nein;Supportiv;Sonstiges Supportivum;L03AA10
ZS;Kisplyx;Lenvatinib;Kisplyx, Lenvima;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE29
ZS;Lenvatinib;Lenvatinib;Kisplyx, Lenvima;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE29
ZS;Lenvima;Lenvatinib;Kisplyx, Lenvima;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE29
HO;Femara;Letrozol;Femara;ja;Endokrine Therapie;Aromatasehemmer;L02BG04
HO;Letrozol;Letrozol;Femara;ja;Endokrine Therapie;Aromatasehemmer;L02BG04
HO;Eligard;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;Eliprogel;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;Enantone;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;Ginecrin;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;GnRH-Analoga;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;Leuprorelin;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;LHRH;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;LHRH-Analoga;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;Lupron;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;Lutrate;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;Plitrate;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;Procren;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;Trenantone;Leuprorelin;Eligard, Eliprogel,Trenantone, Enantone, Ginecrin, Lupron, Lutrate, Plitrate, Procren, LHRH, LHRH-Analoga,GnRH-Analoga;ja;Endokrine Therapie;GnRH-Analogon;L02AE02
HO;Euthyrox;Levothyroxin;Euthyrox, L-Thyroxin, Thevier;nein;Nicht supportiv;Sonstige endokrine Therapie;H03AA01
HO;Levothyroxin;Levothyroxin;Euthyrox, L-Thyroxin, Thevier;nein;Nicht supportiv;Sonstige endokrine Therapie;H03AA01
HO;L-Thyroxin;Levothyroxin;Euthyrox, L-Thyroxin, Thevier;nein;Nicht supportiv;Sonstige endokrine Therapie;H03AA01
HO;Thevier;Levothyroxin;Euthyrox, L-Thyroxin, Thevier;nein;Nicht supportiv;Sonstige endokrine Therapie;H03AA01
SO;Lipegfilgrastim;Lipegfilgrastim;Lonquex;nein;Supportiv;Sonstiges Supportivum;L03AA14
SO;Lonquex;Lipegfilgrastim;Lonquex;nein;Supportiv;Sonstiges Supportivum;L03AA14
CH;Cecenu;Lomustin;Cecenu;ja;Zytostatikum;Alkylanz;L01AD02
CH;Lomustin;Lomustin;Cecenu;ja;Zytostatikum;Alkylanz;L01AD02
ZS;Agenerase;Lonafarnib;Agenerase;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;
ZS;Lonafarnib;Lonafarnib;Agenerase;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;
CH;Lonidamin;Lonidamin;;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;
ZS;Lorlatinib;Lorlatinib;Lorviqua;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE44
ZS;Lorviqua;Lorlatinib;Lorviqua;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01XE44
CH;Lurbinectedin;Lurbinectedin;Zepsyre;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;
CH;Zepsyre;Lurbinectedin;Zepsyre;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;
ZS;ACE-536;Luspatercept;Reblozyl, ACE-536, luspatercept-aamt;nein;Supportiv;Sonstiges Supportivum;B03XA06
ZS;Luspatercept;Luspatercept;Reblozyl, ACE-536, luspatercept-aamt;nein;Supportiv;Sonstiges Supportivum;B03XA06
ZS;luspatercept-aamt;Luspatercept;Reblozyl, ACE-536, luspatercept-aamt;nein;Supportiv;Sonstiges Supportivum;B03XA06
ZS;Reblozyl;Luspatercept;Reblozyl, ACE-536, luspatercept-aamt;nein;Supportiv;Sonstiges Supportivum;B03XA06
HO;Lynestrenol;Lynestrenol;Orgametril, Lyn-Ratiopharm, Ovanon, Ovoresta, Pregnon ;nein;Nicht supportiv;Sonstige endokrine Therapie;G03DC03
HO;Lyn-Ratiopharm;Lynestrenol;Orgametril, Lyn-Ratiopharm, Ovanon, Ovoresta, Pregnon ;nein;Nicht supportiv;Sonstige endokrine Therapie;G03DC03
HO;Orgametril;Lynestrenol;Orgametril, Lyn-Ratiopharm, Ovanon, Ovoresta, Pregnon ;nein;Nicht supportiv;Sonstige endokrine Therapie;G03DC03
HO;Ovanon;Lynestrenol;Orgametril, Lyn-Ratiopharm, Ovanon, Ovoresta, Pregnon ;nein;Nicht supportiv;Sonstige endokrine Therapie;G03DC03
HO;Ovoresta;Lynestrenol;Orgametril, Lyn-Ratiopharm, Ovanon, Ovoresta, Pregnon ;nein;Nicht supportiv;Sonstige endokrine Therapie;G03DC03
HO;Pregnon ;Lynestrenol;Orgametril, Lyn-Ratiopharm, Ovanon, Ovoresta, Pregnon ;nein;Nicht supportiv;Sonstige endokrine Therapie;G03DC03
CH;Mannosulfan;Mannosulfan;;ja;Zytostatikum;Alkylanz;L01AB03
IM;Margetuximab;Margetuximab;;ja;Anderes antineoplastisches Mittel;Antikörper;
ZS;Actinex;Masoprocol;Actinex;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX10
ZS;Masoprocol;Masoprocol;Actinex;ja;Anderes antineoplastisches Mittel;Sonstige zielgerichtete Substanz;L01XX10
CH;Mechlorethamin;Mechlorethamin;Mustargen;ja;Zytostatikum;Alkylanz;L01AA05
CH;Mustargen;Mechlorethamin;Mustargen;ja;Zytostatikum;Alkylanz;L01AA05
HO;Estradiol;Medroxyprogesteron;Estradiol;ja;Endokrine Therapie;Sonstige endokrine Therapie;L02AB02
HO;Medroxyprogesteron;Medroxyprogesteron;Estradiol;ja;Endokrine Therapie;Sonstige endokrine Therapie;L02AB02
HO;Megestat;Megestrol;Megestat;ja;Endokrine Therapie;Sonstige endokrine Therapie;L02AB01
